name,slug,description,price,category_id,image_url,images,stock_quantity,is_active,metadata,created_at,updated_at,sku,style_no,colour_name,colour_hex,brand_id,brand
Iguana All-Weather - Night,iguana-all-weather-night,"High-tack compound with microtexture for humid and rainy play.",29.00,1,/products/iguana-all-weather.png,"[""/products/iguana-all-weather.png""]",80,true,"{""material"":""Tack"",""weight"":""49g"",""weather"":""All""}",2025-01-10T00:00:00Z,2025-01-10T00:00:00Z,IGU-AWX-301-NGT,5001,Night,#20252b,3,Iguana
Iguana All-Weather - Sand,iguana-all-weather-sand,"High-tack compound with microtexture for humid and rainy play.",29.00,1,/products/iguana-all-weather.png,"[""/products/iguana-all-weather.png""]",80,true,"{""material"":""Tack"",""weight"":""49g"",""weather"":""All""}",2025-01-10T00:00:00Z,2025-01-10T00:00:00Z,IGU-AWX-301-SND,5001,Sand,#d9cbb2,3,Iguana
Astari Tour Glove - Left,astari-tour-glove-left,"Premium cabretta leather glove with perforated knuckles for airflow.",24.00,2,/products/tour-glove.png,"[""/products/tour-glove.png""]",120,true,"{""material"":""Cabretta"",""hand"":""Left""}",2025-01-10T00:00:00Z,2025-01-10T00:00:00Z,ATX-GLV-010-L,6001,White,#f5f5f5,1,Astari
Astari Tour Glove - Right,astari-tour-glove-right,"Premium cabretta leather glove with perforated knuckles for airflow.",24.00,2,/products/tour-glove.png,"[""/products/tour-glove.png""]",120,true,"{""material"":""Cabretta"",""hand"":""Right""}",2025-01-10T00:00:00Z,2025-01-10T00:00:00Z,ATX-GLV-010-R,6001,White,#f5f5f5,1,Astari
Astari Players Glove - Sand,astari-players-glove-sand,"Tour fit glove with reinforced palm panel for durability.",22.00,2,/products/players-glove.png,"[""/products/players-glove.png""]",140,true,"{""material"":""Cabretta"",""hand"":""Right""}",2025-01-10T00:00:00Z,2025-01-10T00:00:00Z,ATX-GLV-011-SND,6002,Sand,#d9cbb2,1,Astari
Astari Players Glove - Storm,astari-players-glove-storm,"Tour fit glove with reinforced palm panel for durability.",22.00,2,/products/players-glove.png,"[""/products/players-glove.png""]",140,true,"{""material"":""Cabretta"",""hand"":""Left""}",2025-01-10T00:00:00Z,2025-01-10T00:00:00Z,ATX-GLV-011-STM,6002,Storm,#22303c,1,Astari
Astari Carry Bag - Deep Green,astari-carry-bag-green,"Featherweight stand bag with 4-way top and magnetic rangefinder pocket.",199.00,3,/products/carry-bag.png,"[""/products/carry-bag.png"",""/products/carry-bag-side.png""]",30,true,"{""weight"":""1.9kg"",""pockets"":6}",2025-01-10T00:00:00Z,2025-01-10T00:00:00Z,ATX-BAG-020-GRN,7001,Deep Green,#1f2e27,1,Astari
Astari Carry Bag - Black,astari-carry-bag-black,"Featherweight stand bag with 4-way top and magnetic rangefinder pocket.",199.00,3,/products/carry-bag.png,"[""/products/carry-bag.png"",""/products/carry-bag-side.png""]",30,true,"{""weight"":""1.9kg"",""pockets"":6}",2025-01-10T00:00:00Z,2025-01-10T00:00:00Z,ATX-BAG-020-BLK,7001,Black,#111827,1,Astari
Astari Tour Towel - Emerald,astari-tour-towel-emerald,"Microfiber tri-fold towel with waffle texture for max absorption.",18.00,4,/products/tour-towel.png,"[""/products/tour-towel.png""]",200,true,"{""material"":""Microfiber"",""size"":""16x24""}",2025-01-10T00:00:00Z,2025-01-10T00:00:00Z,ATX-TWL-030-EMR,8001,Emerald,#2f6a3b,1,Astari
Astari Tour Towel - Charcoal,astari-tour-towel-charcoal,"Microfiber tri-fold towel with waffle texture for max absorption.",18.00,4,/products/tour-towel.png,"[""/products/tour-towel.png""]",200,true,"{""material"":""Microfiber"",""size"":""16x24""}",2025-01-10T00:00:00Z,2025-01-10T00:00:00Z,ATX-TWL-030-CHR,8001,Charcoal,#2c2f36,1,Astari
Astari Performance Cap - Night,astari-cap-night,"Lightweight performance cap with moisture-wicking band.",28.00,5,/products/cap.png,"[""/products/cap.png""]",150,true,"{""material"":""Poly"",""closure"":""Velcro""}",2025-01-10T00:00:00Z,2025-01-10T00:00:00Z,ATX-CAP-040-NGT,9001,Night,#20252b,1,Astari
Astari Performance Cap - Stone,astari-cap-stone,"Lightweight performance cap with moisture-wicking band.",28.00,5,/products/cap.png,"[""/products/cap.png""]",150,true,"{""material"":""Poly"",""closure"":""Velcro""}",2025-01-10T00:00:00Z,2025-01-10T00:00:00Z,ATX-CAP-040-STN,9001,Stone,#c5c7c9,1,Astari
